ACFT_ID,Profile_ID,Step Number,Step Type,Flap_ID,Start Altitude(ft),Start CAS (kt),Descent Angle (deg),Touchdown Roll (ft),Distance (ft),Start Thrust
747400RN,DEFAULT,1,Descend-Decel,A_00U,6000,250.0,2.7,,,
747400RN,DEFAULT,2,Level-Decel,A_00U,3000,249.0,0,,13679,
747400RN,DEFAULT,3,Level-Decel,A_01U,3000,216.4,0,,13691,
747400RN,DEFAULT,4,Level-Decel,A_05U,3000,167.9,0,,1132,
747400RN,DEFAULT,5,Level-Decel,A_10U,3000,167.9,0,,1663,
747400RN,DEFAULT,6,Descend-Decel,A_20D,3000,167.9,3,,,
747400RN,DEFAULT,7,Descend,A_30D,2599,153.0,3,,,
747400RN,DEFAULT,8,Descend,A_30D,1046,153.0,3,,,
747400RN,DEFAULT,9,Land,A_30D,,,,521,,
747400RN,DEFAULT,10,Decelerate,,,141.1,,,4690,10
747400RN,DEFAULT,11,Decelerate,,,30.0,,,0,10
7673ER,DEFAULT,1,Descend,A_00,6000,250.0,3,,,
7673ER,DEFAULT,2,Level-Decel,A_00,3000,250.0,0,,19422,
7673ER,DEFAULT,3,Level-Decel,A_01,3000,211.0,0,,14212,
7673ER,DEFAULT,4,Level-Decel,A_05,3000,170.0,0,,1612,
7673ER,DEFAULT,5,Descend,A_20,3000,164.0,3,,,
7673ER,DEFAULT,6,Descend,A_30,2529,149.0,3,,,
7673ER,DEFAULT,7,Descend,A_30,2461,142.0,3,,,
7673ER,DEFAULT,8,Land,A_30,,,,440,,
7673ER,DEFAULT,9,Decelerate,,,142.0,,,3964,10
7673ER,DEFAULT,10,Decelerate,,,30.0,,,0,10
7773ER,DEFAULT,1,Descend-Idle,,6000,249.9,3,,,
7773ER,DEFAULT,2,Level-Idle,,3000,249.9,,,20776,
7773ER,DEFAULT,3,Level-Idle,,3000,210.6,,,10088,
7773ER,DEFAULT,4,Level-Idle,,3000,185.4,,,5926,
7773ER,DEFAULT,5,Descend-Idle,,3000,170.4,3,,,
7773ER,DEFAULT,6,Descend,F_30,2700,147.8,3,,,
7773ER,DEFAULT,7,Land,F_30,,,,427.1,,
7773ER,DEFAULT,8,Decelerate,,,140.8,,,3844,10
7773ER,DEFAULT,9,Decelerate,,,30.0,,,0,10
7879,DEFAULT,1,Descend-Decel,A_00,6000,250.0,2.3,,,
7879,DEFAULT,2,Level-Decel,A_00,3000,249.0,0,,17907,
7879,DEFAULT,3,Level-Decel,A_01,3000,213.0,0,,9535,
7879,DEFAULT,4,Level-Decel,A_05,3000,188.0,0,,5410,
7879,DEFAULT,5,Level-Decel,A_20,3000,165.0,0,,1089,
7879,DEFAULT,6,Descend-Decel,A_20,3000,159.0,3,,,
7879,DEFAULT,7,Descend,A_30,2773,149.0,3,,,
7879,DEFAULT,8,Descend,A_30,999,149.0,3,,,
7879,DEFAULT,9,Land,A_30,,,,433,,
7879,DEFAULT,10,Decelerate,,,149.0,,,3895,10
7879,DEFAULT,11,Decelerate,,,30.0,,,0,10
A320-270N,DEFAULT1,1,Descend-Idle,A_ZERO,6000,250.0,3.2,,,
A320-270N,DEFAULT1,2,Level-Idle,A_ZERO,3000,250.0,,,17425,
A320-270N,DEFAULT1,3,Level-Idle,A_1_U,3000,206.3,,,6654,
A320-270N,DEFAULT1,4,Descend-Idle,A_1_U,3000,186.0,3,,,
A320-270N,DEFAULT1,5,Descend-Idle,A_2_D,2606,175.4,3,,,
A320-270N,DEFAULT1,6,Descend-Idle,A_3_D,1906,143.7,3,,,
A320-270N,DEFAULT1,7,Descend,A_FULL_D,1733,130.9,3,,,
A320-270N,DEFAULT1,8,Descend,A_FULL_D,50,130.9,3,,,
A320-270N,DEFAULT1,9,Land,A_FULL_D,,,,447.1,,
A320-270N,DEFAULT1,10,Decelerate,A_FULL_D,,130.9,,,4025,40
A320-270N,DEFAULT1,11,Decelerate,A_FULL_D,,30.0,,,0,10
A320-270N,DEFAULT2,1,Descend-Idle,A_ZERO,6000,250.0,3.2,,,
A320-270N,DEFAULT2,2,Level-Idle,A_ZERO,3000,250.0,,,17425,
A320-270N,DEFAULT2,3,Level,A_1_U,3000,206.3,,,28396,
A320-270N,DEFAULT2,4,Level-Idle,A_1_U,3000,206.3,,,6250,
A320-270N,DEFAULT2,5,Descend-Idle,A_1_U,3000,185.9,3,,,
A320-270N,DEFAULT2,6,Descend-Idle,A_2_D,2606,175.3,3,,,
A320-270N,DEFAULT2,7,Descend,A_FULL_D,1733,130.9,3,,,
A320-270N,DEFAULT2,8,Descend,A_FULL_D,50,130.9,3,,,
A320-270N,DEFAULT2,9,Land,A_FULL_D,,,,447.1,,
A320-270N,DEFAULT2,10,Decelerate,A_FULL_D,,130.9,,,4025,40
A320-270N,DEFAULT2,11,Decelerate,A_FULL_D,,30.0,,,0,10
A321-270N,DEFAULT1,1,Descend-Idle,AZERO,6000,250.0,3.1,,,
A321-270N,DEFAULT1,2,Level-Idle,AZERO,3000,250.0,,,13157,
A321-270N,DEFAULT1,3,Level-Idle,A1U,3000,216.9,,,6533,
A321-270N,DEFAULT1,4,Descend-Idle,A2D,3000,196.0,3,,,
A321-270N,DEFAULT1,5,Descend-Idle,A2D,2518,179.5,3,,,
A321-270N,DEFAULT1,6,Descend-Idle,A2D,2012,152.5,3,,,
A321-270N,DEFAULT1,7,Descend-Idle,AFULLD,1959,149.3,3,,,
A321-270N,DEFAULT1,8,Descend,AFULLD,1813,135.7,3,,,
A321-270N,DEFAULT1,9,Descend,AFULLD,50,135.7,3,,,
A321-270N,DEFAULT1,10,Land,AFULLD,,,,344.2,,
A321-270N,DEFAULT1,11,Decelerate,AFULLD,,132.7,,,3098,40
A321-270N,DEFAULT1,12,Decelerate,AFULLD,,30.0,,,0,10
A321-270N,DEFAULT2,1,Descend-Idle,AZERO,6000,250.0,3.1,,,
A321-270N,DEFAULT2,2,Level-Idle,AZERO,3000,250.0,,,13157,
A321-270N,DEFAULT2,3,Level,A1U,3000,216.9,,,31016,
A321-270N,DEFAULT2,4,Level-Idle,A1U,3000,216.9,,,6101,
A321-270N,DEFAULT2,5,Descend-Idle,A2D,3000,195.9,3,,,
A321-270N,DEFAULT2,6,Descend-Idle,A2D,2518,179.5,3,,,
A321-270N,DEFAULT2,7,Descend-Idle,A2D,2012,152.4,3,,,
A321-270N,DEFAULT2,8,Descend-Idle,AFULLD,1960,149.2,3,,,
A321-270N,DEFAULT2,9,Descend,AFULLD,1814,135.7,3,,,
A321-270N,DEFAULT2,10,Descend,AFULLD,50,135.7,3,,,
A321-270N,DEFAULT2,11,Land,AFULLD,,,,344.2,,
A321-270N,DEFAULT2,12,Decelerate,AFULLD,,132.7,,,3098,40
A321-270N,DEFAULT2,13,Decelerate,AFULLD,,30.0,,,0,10
A330-743L,DEFAULT1,1,Descend-Idle,AZERO,6000,250.0,3.1,,,
A330-743L,DEFAULT1,2,Level-Idle,AZERO,3000,250.0,,,17921,
A330-743L,DEFAULT1,3,Level-Idle,A1U,3000,203.9,,,7566,
A330-743L,DEFAULT1,4,Descend-Idle,A2D,3000,179.7,3,,,
A330-743L,DEFAULT1,5,Descend-Idle,A2D,2476,167.3,3,,,
A330-743L,DEFAULT1,6,Descend-Idle,A2D,2355,161.8,3,,,
A330-743L,DEFAULT1,7,Descend-Idle,AFULLD,2327,160.4,3,,,
A330-743L,DEFAULT1,8,Descend,AFULLD,1972,134.7,3,,,
A330-743L,DEFAULT1,9,Descend,AFULLD,50,134.7,3,,,
A330-743L,DEFAULT1,10,Land,AFULLD,,,,388,,
A330-743L,DEFAULT1,11,Decelerate,AFULLD,,131.7,,,3492,10
A330-743L,DEFAULT1,12,Decelerate,AFULLD,,30.0,,,0,10
A330-743L,DEFAULT2,1,Descend-Idle,AZERO,6000,250.0,3.1,,,
A330-743L,DEFAULT2,2,Level-Idle,AZERO,3000,250.0,,,17921,
A330-743L,DEFAULT2,3,Level,A1U,3000,203.9,,,30688,
A330-743L,DEFAULT2,4,Level-Idle,A1U,3000,203.9,,,7345,
A330-743L,DEFAULT2,5,Descend-Idle,A2D,3000,179.6,3,,,
A330-743L,DEFAULT2,6,Descend-Idle,A2D,2476,167.2,3,,,
A330-743L,DEFAULT2,7,Descend-Idle,A2D,2355,161.8,3,,,
A330-743L,DEFAULT2,8,Descend-Idle,AFULLD,2327,160.4,3,,,
A330-743L,DEFAULT2,9,Descend,AFULLD,1972,134.7,3,,,
A330-743L,DEFAULT2,10,Descend,AFULLD,50,134.7,3,,,
A330-743L,DEFAULT2,11,Land,AFULLD,,,,388,,
A330-743L,DEFAULT2,12,Decelerate,AFULLD,,131.7,,,3492,10
A330-743L,DEFAULT2,13,Decelerate,AFULLD,,30.0,,,0,10
A350-1041,DEFAULT1,1,Descend-Idle,AZERO,6000,250.0,2.3,,,
A350-1041,DEFAULT1,2,Level-Idle,AZERO,3000,250.0,,,24656,
A350-1041,DEFAULT1,3,Level-Idle,A1U,3000,202.0,,,7868,
A350-1041,DEFAULT1,4,Descend-Idle,A2D,3000,180.4,3,,,
A350-1041,DEFAULT1,5,Descend-Idle,A2D,2618,172.3,3,,,
A350-1041,DEFAULT1,6,Descend-Idle,A2D,2418,164.9,3,,,
A350-1041,DEFAULT1,7,Descend-Idle,AFULLD,2341,161.5,3,,,
A350-1041,DEFAULT1,8,Descend,AFULLD,2104,144.2,3,,,
A350-1041,DEFAULT1,9,Descend,AFULLD,50,144.2,3,,,
A350-1041,DEFAULT1,10,Land,AFULLD,,,,529.9,,
A350-1041,DEFAULT1,11,Decelerate,AFULLD,,141.2,,,4769.3,10
A350-1041,DEFAULT1,12,Decelerate,AFULLD,,30.0,,,0,10
A350-1041,DEFAULT2,1,Descend-Idle,AZERO,6000,250.0,2.3,,,
A350-1041,DEFAULT2,2,Level-Idle,AZERO,3000,250.0,,,24656,
A350-1041,DEFAULT2,3,Level,A1U,3000,202.0,,,22927,
A350-1041,DEFAULT2,4,Level-Idle,A1U,3000,202.4,,,7553,
A350-1041,DEFAULT2,5,Descend-Idle,A2D,3000,180.3,3,,,
A350-1041,DEFAULT2,6,Descend-Idle,A2D,2618,172.2,3,,,
A350-1041,DEFAULT2,7,Descend-Idle,A2D,2418,164.9,3,,,
A350-1041,DEFAULT2,8,Descend-Idle,AFULLD,2341,161.4,3,,,
A350-1041,DEFAULT2,9,Descend,AFULLD,2105,144.2,3,,,
A350-1041,DEFAULT2,10,Descend,AFULLD,50,144.2,3,,,
A350-1041,DEFAULT2,11,Land,AFULLD,,,,529.9,,
A350-1041,DEFAULT2,12,Decelerate,AFULLD,,141.2,,,4769.3,10
A350-1041,DEFAULT2,13,Decelerate,AFULLD,,30.0,,,0,10
ERJ190-300,VISUAL,1,Descend-Idle,F0-UP,6000,250.0,2.124043618,,,
