ACFT_ID,Profile_ID,Stage Length,Step Number,Step Type,Thrust Rating,Flap_ID,End Point Altitude (ft),Rate Of Climb (ft/min),End Point CAS (kt),Accel Percentage (%)
747400RN,ICAO_A,1,1,Takeoff,MaxTakeoff,T_10D,,,,
747400RN,ICAO_A,1,2,Climb,MaxTakeoff,T_10U,1500,,,
747400RN,ICAO_A,1,3,Climb,MaxClimb,T_10U,3000,,,
747400RN,ICAO_A,1,4,Accelerate,MaxClimb,T_05U,,904.6,191.0,55
747400RN,ICAO_A,1,5,Accelerate,MaxClimb,T_01U,,1045.0,243.5,55
747400RN,ICAO_A,1,6,Climb,MaxClimb,T_01U,4873,,,
747400RN,ICAO_A,1,7,Climb,MaxClimb,T_00U,5656,,,
747400RN,ICAO_A,1,8,Accelerate,MaxClimb,T_00U,,1096.0,250.0,60
747400RN,ICAO_A,1,9,Climb,MaxClimb,T_00U,7500,,,
747400RN,ICAO_A,1,10,Climb,MaxClimb,T_00U,10000,,,
747400RN,ICAO_A,2,1,Takeoff,MaxTakeoff,T_10D,,,,
747400RN,ICAO_A,2,2,Climb,MaxTakeoff,T_10U,1500,,,
747400RN,ICAO_A,2,3,Climb,MaxClimb,T_10U,3000,,,
747400RN,ICAO_A,2,4,Accelerate,MaxClimb,T_05U,,870.2,193.0,55
747400RN,ICAO_A,2,5,Accelerate,MaxClimb,T_01U,,1005.3,245.0,55
747400RN,ICAO_A,2,6,Climb,MaxClimb,T_01U,4859,,,
747400RN,ICAO_A,2,7,Climb,MaxClimb,T_00U,5647,,,
747400RN,ICAO_A,2,8,Accelerate,MaxClimb,T_00U,,1053.3,250.0,60
747400RN,ICAO_A,2,9,Climb,MaxClimb,T_00U,7500,,,
747400RN,ICAO_A,2,10,Climb,MaxClimb,T_00U,10000,,,
747400RN,ICAO_A,3,1,Takeoff,MaxTakeoff,T_10D,,,,
747400RN,ICAO_A,3,2,Climb,MaxTakeoff,T_10U,1500,,,
747400RN,ICAO_A,3,3,Climb,MaxClimb,T_10U,3000,,,
747400RN,ICAO_A,3,4,Accelerate,MaxClimb,T_05U,,819.5,196.0,55
747400RN,ICAO_A,3,5,Accelerate,MaxClimb,T_01U,,961.7,248.0,55
747400RN,ICAO_A,3,6,Climb,MaxClimb,T_01U,4808,,,
747400RN,ICAO_A,3,7,Climb,MaxClimb,T_00U,5493,,,
747400RN,ICAO_A,3,8,Accelerate,MaxClimb,T_00U,,1009.1,250.0,60
747400RN,ICAO_A,3,9,Climb,MaxClimb,T_00U,7500,,,
747400RN,ICAO_A,3,10,Climb,MaxClimb,T_00U,10000,,,
