ACFT_ID,Op Type,Profile_ID,Stage Length,Point Number,Distance (ft),Altitude AFE (ft),TAS (kt),Power Setting
FAL900EX,D,DEFAULT,1,1,0,0,8,5050.43085
FAL900EX,D,DEFAULT,1,2,2776.648163,0,139.7302028,4096.811207
FAL900EX,D,DEFAULT,1,3,3364.299705,35,145.3560803,4071.251781
FAL900EX,D,DEFAULT,1,4,5063.115354,318.0049633,150.5532669,4089.125578
FAL900EX,D,DEFAULT,1,5,6194.560925,543.3342285,153.0590991,4112.631331
FAL900EX,D,DEFAULT,1,6,8964.814698,1175.627686,155.5539586,4203.107615
FAL900EX,D,DEFAULT,1,7,10063.11535,1371.475381,160.5130168,4207.076222
FAL900EX,D,DEFAULT,1,8,12575.12201,1686.38147,178.1044406,4161.743729
FAL900EX,D,DEFAULT,1,9,15037.05039,2149.594238,185.2135116,4204.590376
FAL900EX,D,DEFAULT,1,10,17987.15335,2797.350586,188.9454335,4257.931404
FAL900EX,D,DEFAULT,1,11,18136.12116,2830.935059,188.9545253,3919.380406
FAL900EX,D,DEFAULT,1,12,18195.7086,2844.321045,188.9220292,3913.77928
FAL900EX,D,DEFAULT,1,13,18225.50308,2850.991943,188.9068564,3872.752523
FAL900EX,D,DEFAULT,1,14,18314.89127,2870.88623,188.826899,3696.312977
FAL900EX,D,DEFAULT,1,15,18344.68734,2877.469971,188.7878622,3602.552583
FAL900EX,D,DEFAULT,1,16,18456.38894,2901.890137,188.5440152,3210.171277
FAL900EX,D,DEFAULT,1,17,19409.27792,3086.161621,187.2176515,3242.341097
FAL900EX,D,DEFAULT,1,18,20733.08301,3272.467773,189.175754,3257.012433
FAL900EX,D,DEFAULT,1,19,23344.68734,3647.146551,191.751437,3294.172234
FAL900EX,D,DEFAULT,1,20,28344.68734,4401.280769,194.5743748,3381.702007
FAL900EX,D,DEFAULT,1,21,33344.68734,5149.830828,197.8503024,3467.233575
FAL900EX,D,DEFAULT,1,22,38344.68734,5447.428529,223.6259903,3378.687533
FAL900EX,D,DEFAULT,1,23,43344.68734,5671.430465,247.222098,3292.0062
FAL900EX,D,DEFAULT,1,24,48344.68734,5917.77041,265.5991921,3240.146564
FAL900EX,D,DEFAULT,1,25,53344.68734,6395.179768,272.5401377,3291.507439
FAL900EX,D,DEFAULT,1,26,58344.68734,6959.92586,275.9575455,3374.309491
FAL900EX,D,DEFAULT,1,27,63344.68734,7547.933523,278.5770357,3464.607224
FAL900EX,D,DEFAULT,1,28,68344.68734,8143.213343,281.0179354,3541.83958
FAL900EX,D,DEFAULT,1,29,73344.68734,8730.467922,283.4119398,3569.657879
FAL900EX,D,DEFAULT,1,30,78344.68734,9302.589658,285.8028344,3596.006808
FAL900EX,D,DEFAULT,1,31,84850.66296,10025.78223,288.8772275,3629.653675
FAL900EX,D,DEFAULT,1,32,85039.20138,10046.40918,289.0655893,4194.350882
FAL900EX,D,CLOSE-IN,1,1,0,0,8,5050.515625
FAL900EX,D,CLOSE-IN,1,2,2776.648163,0,139.7302028,4096.879883
FAL900EX,D,CLOSE-IN,1,3,3364.299705,35,145.3560803,4071.320068
FAL900EX,D,CLOSE-IN,1,4,4409.016207,199.0263519,148.8406401,4079.083984
FAL900EX,D,CLOSE-IN,1,5,4996.938583,305.6637878,150.3843467,4088.095703
FAL900EX,D,CLOSE-IN,1,6,5471.199508,395.135437,151.5874002,4096.185547
FAL900EX,D,CLOSE-IN,1,7,5520.335794,404.5736084,151.7157976,4040.261719
FAL900EX,D,CLOSE-IN,1,8,5639.486417,427.6716003,151.9062062,3718.218994
FAL900EX,D,CLOSE-IN,1,9,5663.323196,432.3302918,151.9219129,3711.818115
FAL900EX,D,CLOSE-IN,1,10,5687.160761,437.0003052,151.9378421,3712.643311
FAL900EX,D,CLOSE-IN,1,11,5710.998688,441.6812134,151.9525847,3671.77417
FAL900EX,D,CLOSE-IN,1,12,5785.739173,456.4222412,151.9435078,3486.914795
FAL900EX,D,CLOSE-IN,1,13,6004.040387,500.8961792,151.1063063,2698.366699
FAL900EX,D,CLOSE-IN,1,14,7230.827986,742.6170044,145.4958982,2760.615723
FAL900EX,D,CLOSE-IN,1,15,10857.16814,1230.40988,145.090586,2834.271082
FAL900EX,D,CLOSE-IN,1,16,15857.16814,1877.516828,146.4319566,2923.615035
FAL900EX,D,CLOSE-IN,1,17,24380.15827,2987.971436,148.8048662,3053.133789
FAL900EX,D,CLOSE-IN,1,18,24472.51417,3000,148.8309106,3054.507568
FAL900EX,D,CLOSE-IN,1,19,24755.54236,3036.869141,149.2370305,3829.296875
FAL900EX,D,CLOSE-IN,1,20,24873.92877,3052.329834,149.859277,4172.766113
FAL900EX,D,CLOSE-IN,1,21,29873.92877,3486.584992,189.5442481,4005.309189
FAL900EX,D,CLOSE-IN,1,22,34873.92877,3797.417619,226.4852878,3854.737471
FAL900EX,D,CLOSE-IN,1,23,39873.92877,4117.83166,254.5591391,3775.819556
FAL900EX,D,CLOSE-IN,1,24,44873.92877,4760.864471,264.9434853,3834.560853
FAL900EX,D,CLOSE-IN,1,25,49873.92877,5533.841743,269.6120404,3936.731091
FAL900EX,D,CLOSE-IN,1,26,54873.92877,6332.25341,273.0939592,4058.198046
FAL900EX,D,CLOSE-IN,1,27,59873.92877,7138.65914,276.3371818,4197.993005
FAL900EX,D,CLOSE-IN,1,28,64873.92877,7947.410943,279.5565643,4335.491077
FAL900EX,D,CLOSE-IN,1,29,69873.92877,8746.497767,282.7425926,4387.005552
FAL900EX,D,CLOSE-IN,1,30,74873.92877,9519.188099,285.9508901,4429.635738
FAL900EX,D,CLOSE-IN,1,31,79873.92877,10267.32169,289.1312721,4472.216056
