ACFT_ID,Stage Length,Weight (lb)
747400RN,1,552600
747400RN,2,571600
747400RN,3,592300
747400RN,4,629200
747400RN,5,675600
747400RN,6,727400
747400RN,7,783200
747400RN,8,843400
747400RN,M,875000
7673ER,1,289800
7673ER,2,299600
7673ER,3,310000
7673ER,4,329900
7673ER,5,354900
7673ER,6,381700
7673ER,7,410100
7673ER,M,412000
7773ER,1,503600
7773ER,2,519100
7773ER,3,536100
7773ER,4,565800
7773ER,5,602700
7773ER,6,642600
7773ER,7,684500
7773ER,8,728900
7773ER,9,775000
7879,1,383800
7879,2,394100
7879,3,404900
7879,4,425600
7879,5,451200
7879,6,478200
7879,7,506900
7879,8,537200
7879,M,560000
A320-270N,1,137932
A320-270N,2,142593
A320-270N,3,147375
A320-270N,4,155821
A320-270N,5,166793
A320-270N,M,174165
A321-270N,1,161202
A321-270N,2,166735
A321-270N,3,172426
A321-270N,4,182523
A321-270N,5,195678
A321-270N,M,213848
A330-743L,1,385319
A330-743L,2,400877
A330-743L,3,416927
A330-743L,4,445684
A330-743L,5,484997
A330-743L,M,500449
A350-1041,1,474808
A350-1041,2,487949
A350-1041,3,501415
A350-1041,4,525146
A350-1041,5,555651
A350-1041,6,588295
A350-1041,7,622738
A350-1041,8,659401
A350-1041,M,696661
ERJ190-300,1,99848
ERJ190-300,2,103753
ERJ190-300,3,107841
ERJ190-300,4,115192
ERJ190-300,M,124341
ERJ190-400,1,109584
ERJ190-400,2,113845
ERJ190-400,3,118280
ERJ190-400,4,126214
ERJ190-400,M,135584
FAL900EX,1,41650
