ACFT_ID,Thrust Rating,E,F,Ga,Gb,H,K1,K2,K3,K4
747400RN,MaxTakeoff,60001.93,-54.6966,0.54931,-0.0000655,0,,,,
747400RN,MaxTkoffHiTemp,69187.77,-54.4491,0.11345,-0.0000314,-330.8943,,,,
747400RN,MaxClimb,45055.16,-46.8285,0.69559,-0.00000281,0,,,,
747400RN,MaxClimbHiTemp,58232.76,-48.1426,-0.31724,0.00000793,-410.3754,,,,
747400RN,IdleApproach,1664.40,-6.68,-0.0173,0,0,,,,
7673ER,MaxTakeoff,57400.17,-54.9566,0.55811,-0.0000167,0,,,,
7673ER,MaxTkoffHiTemp,68267.90,-57.8748,-0.067828,-0.0000105,-354.3278,,,,
7673ER,MaxClimb,47210.90,-47.5984,0.78953,-8.47E-06,0,,,,
7673ER,MaxClimbHiTemp,51100.94,-29.497,-0.044119,0.0000153,-261.6588,,,,
7673ER,IdleApproach,1933.50,-9.448571,0.0371,0,0,,,,
7773ER,IdleApproach,8950.00,-27.25,0.131,0,0,,,,
7773ER,MaxClimb,92110.00,-119,1.14,-7.00E-06,0,,,,
7773ER,MaxClimbHiTemp,96550.00,-69.4,-0.542,-5.00E-05,-533,,,,
7773ER,MaxTakeoff,112250.00,-120,0.713,-0.00011,0,,,,
7879,MaxTakeoff,72692.87,-67.0999,1.7563,-0.0001785,0,,,,
7879,MaxTkoffHiTemp,92448.26,-82.9711,-0.12313,-0.000020885,-520.0775,,,,
7879,MaxClimb,61125.90,-58.0962,0.84086,-0.000010245,0,,,,
7879,MaxClimbHiTemp,65510.37,-31.827,-0.20385,0.000018779,-335.2708,,,,
7879,IdleApproach,3202.10,-14.268571,0.0348,0,0,,,,
A320-270N,IdleApproach,2858.40,-13.637162,0.0864416,-7.4503E-06,0,,,,
A320-270N,IdleApproachHiTemp,2858.40,-13.637162,0.0864416,-7.4503E-06,0,,,,
A320-270N,MaxClimb,26524.04,-34.512265,0.201713,3.37299E-06,0,,,,
A320-270N,MaxClimbHiTemp,28135.90,-32.988951,0,0,-123,,,,
A320-270N,MaxTakeoff,29154.29,-47.382684,0.983149,-0.00004435,0,,,,
A320-270N,MaxTkoffHiTemp,39256.40,-44.11572,0,0,-293,,,,
A321-270N,MaxTakeoff,33882.10,-43.97512,0.121361,-0.00001426,0,,,,
A321-270N,MaxTkoffHiTemp,34660.70,-42.61426,0,0,-60.9,,,,
A321-270N,MaxClimb,28591.30,-35.34956,0.260241,0.000000198,0,,,,
A321-270N,MaxClimbHiTemp,29810.20,-30.92756,0,0,-122,,,,
A321-270N,IdleApproach,3091.90,-14.52491,0.0745707,-0.00000649,0,,,,
A321-270N,IdleApproachHiTemp,3091.90,-14.52491,0.0745707,-0.00000649,0,,,,
A330-743L,MaxTakeoff,70849.80,-87.0186,1.07261,-6.14E-05,0,,,,
A330-743L,MaxTkoffHiTemp,77386.50,-79.65057,0,0,-210,,,,
A330-743L,MaxClimb,44549.30,-18.01457,0.91803,-9.04E-06,0,,,,
A330-743L,MaxClimbHiTemp,61630.00,-48.29699,0,0,-390,,,,
A330-743L,IdleApproach,3364.10,-15.01849,7.55E-02,3.55E-06,0,,,,
A330-743L,IdleApproachHiTemp,3364.10,-15.01849,7.55E-02,3.55E-06,0,,,,
A350-1041,MaxTakeoff,94292.20,-90.87871,0.556674,-0.000060672,0,,,,
A350-1041,MaxTkoffHiTemp,106503.00,-84.75734,0,0,-485,,,,
A350-1041,MaxClimb,72185.70,-89.88632,1.70847,-0.00005562,0,,,,
A350-1041,MaxClimbHiTemp,71441.80,-50.35066,0,0,-321,,,,
A350-1041,IdleApproach,3309.90,-10.45904,0.184735,-7.6682E-06,0,,,,
A350-1041,IdleApproachHiTemp,3309.90,-10.45904,0.184735,-7.6682E-06,0,,,,
ERJ190-300,MaxTakeoff,22213.58,-33.30558548,0.313654854,-1.37373E-05,0.86336035,,,,
ERJ190-300,MaxTkoffHiTemp,29133.18,-31.15778901,-0.136687076,-5.35703E-06,-204.2961084,,,,
ERJ190-300,MaxClimb,15733.01,-10.55600738,0.344326276,-4.59075E-06,2.715039817,,,,
ERJ190-300,MaxClimbHiTemp,20920.15,-13.40649876,-0.051567521,-7.02287E-06,-177.6120674,,,,
ERJ190-300,IdleApproach,1061.53,-4.606405026,-0.006938197,3.0854E-06,-0.110312967,,,,
ERJ190-400,MaxTakeoff,22096.28,-32.43830534,0.325192634,-1.24587E-05,0.974410868,,,,
ERJ190-400,MaxTkoffHiTemp,28043.05,-30.68862393,-0.235639513,9.35819E-06,-199.9512881,,,,
ERJ190-400,MaxClimb,19674.32,-25.20543183,0.20996965,-2.74137E-06,1.271064425,,,,
ERJ190-400,MaxClimbHiTemp,22344.03,-21.42115613,-0.08865158,-3.80488E-06,-150.8937225,,,,
ERJ190-400,IdleApproach,974.51,-4.161604607,0.00779109,1.02225E-06,0.164374484,,,,
