NPD_ID,Noise Metric,Op Mode,Power Setting,L_200ft,L_400ft,L_630ft,L_1000ft,L_2000ft,L_4000ft,L_6300ft,L_10000ft,L_16000ft,L_25000ft
747400RN,SEL,A,7000,95.6,91.2,88.1,84.8,79.5,73.4,68.8,63.7,58.6,53.7
747400RN,SEL,A,10000,96.1,91.5,88.5,85.0,79.6,73.4,68.8,63.8,58.7,53.9
747400RN,SEL,A,13000,96.7,92.1,88.9,85.5,79.9,73.7,69.2,64.2,59.1,54.3
747400RN,SEL,A,16000,97.5,92.8,89.5,86.0,80.5,74.3,69.7,64.7,59.6,54.8
747400RN,SEL,D,24000,96.9,92.4,89.4,85.4,79.6,73.3,68.7,63.4,58.0,52.9
747400RN,SEL,D,32200,98.7,94.5,91.8,87.9,82.4,76.1,71.5,66.2,60.8,55.8
747400RN,SEL,D,40400,100.6,96.4,94.1,90.1,84.7,78.6,74.0,68.8,63.5,58.5
747400RN,SEL,D,48600,102.4,98.2,96.1,92.1,86.8,80.8,76.3,71.2,66.0,61.2
747400RN,SEL,D,56800,104.1,100.0,98.0,93.9,88.7,82.8,78.4,73.5,68.5,63.8
747400RN,SEL,D,65000,106.2,102.0,100.1,95.8,90.7,85.0,80.8,76.0,71.2,66.7
747400RN,EPNL,A,7000,98.7,93.9,90.3,86.2,80.1,73.4,68.0,61.8,55.5,49.5
747400RN,EPNL,A,10000,99.2,94.3,90.6,86.6,80.4,73.7,68.4,62.1,55.8,49.8
747400RN,EPNL,A,13000,100.0,95.1,91.4,87.2,81.0,74.3,69.0,62.7,56.3,50.3
747400RN,EPNL,A,16000,101.1,96.1,92.4,88.1,81.8,75.1,69.7,63.4,57.0,50.9
747400RN,EPNL,D,24000,102.4,97.2,93.2,88.8,81.5,74.4,68.7,62.0,55.2,48.8
747400RN,EPNL,D,32200,103.6,98.8,95.1,91.1,84.3,77.4,72.0,65.6,59.2,53.1
747400RN,EPNL,D,40400,105.1,100.5,97.0,93.2,86.8,79.9,74.8,68.7,62.5,56.7
747400RN,EPNL,D,48600,106.7,102.3,98.9,95.2,89.0,82.3,77.2,71.4,65.4,59.8
747400RN,EPNL,D,56800,108.5,104.2,100.8,97.1,91.0,84.4,79.5,73.8,68.0,62.6
747400RN,EPNL,D,65000,110.7,106.4,103.1,99.4,93.2,86.8,81.9,76.4,70.8,65.7
747400RN,LAmax,A,7000,92.9,85.8,81.0,76.0,68.0,59.3,53.1,46.4,39.5,33.0
747400RN,LAmax,A,10000,93.0,85.9,81.1,76.1,68.2,59.4,53.2,46.5,39.7,33.3
747400RN,LAmax,A,13000,93.4,86.2,81.5,76.5,68.5,59.8,53.6,46.9,40.1,33.7
747400RN,LAmax,A,16000,93.9,86.7,82.0,77.0,69.0,60.3,54.1,47.4,40.7,34.3
747400RN,LAmax,D,24000,93.7,86.9,82.4,77.6,69.6,60.5,54.0,46.9,39.7,32.8
747400RN,LAmax,D,32200,97.3,90.6,86.0,81.0,72.7,63.5,56.9,49.7,42.4,35.5
747400RN,LAmax,D,40400,100.0,93.3,88.8,83.5,75.2,66.0,59.4,52.2,44.9,38.1
747400RN,LAmax,D,48600,102.1,95.3,91.0,85.5,77.2,68.1,61.5,54.4,47.2,40.4
747400RN,LAmax,D,56800,103.9,96.9,92.8,87.2,79.0,69.9,63.5,56.5,49.4,42.8
747400RN,LAmax,D,65000,105.5,98.3,94.6,88.7,80.6,71.8,65.6,58.5,51.9,45.4
747400RN,PNLTM,A,7000,106.2,98.7,93.5,87.7,78.9,69.3,62.3,54.6,46.9,39.5
747400RN,PNLTM,A,10000,106.7,99.1,93.9,88.1,79.2,69.7,62.7,55.0,47.2,39.9
747400RN,PNLTM,A,13000,107.3,99.7,94.5,88.6,79.7,70.2,63.1,55.5,47.7,40.3
747400RN,PNLTM,A,16000,108.0,100.4,95.3,89.3,80.3,70.7,63.7,56.0,48.2,40.8
747400RN,PNLTM,D,24000,108.6,101.4,96.3,90.4,80.3,70.3,62.9,54.7,46.4,38.5
747400RN,PNLTM,D,32200,111.4,104.2,99.2,93.5,83.9,73.7,66.5,58.4,50.3,42.7
747400RN,PNLTM,D,40400,113.7,106.6,101.6,95.9,86.6,76.5,69.4,61.5,53.6,46.1
747400RN,PNLTM,D,48600,115.7,108.6,103.6,98.0,88.8,78.8,71.8,64.2,56.4,49.1
