Spectral Class ID,Op Type,Description,L_50Hz,L_63Hz,L_80Hz,L_100Hz,L_125Hz,L_160Hz,L_200Hz,L_250Hz,L_315Hz,L_400Hz,L_500Hz,L_630Hz,L_800Hz,L_1000Hz,L_1250Hz,L_1600Hz,L_2000Hz,L_2500Hz,L_3150Hz,L_4000Hz,L_5000Hz,L_6300Hz,L_8000Hz,L_10000Hz
101,Departure                                         ,2/3-Engine.LowByPass.Tfan,59.5,61.6,62.8,73.1,80.8,78.3,72.3,75.8,75.9,73.6,71.8,71.6,72.3,70,68.3,66.6,64.2,61.4,58.6,54.8,50.9,45.7,43.9,40.9
102,Departure                                         ,2-Engine.HighByPass.Tfan,59.7,60,68.5,73,73.8,70.4,67.6,71.4,68.7,72.8,73.2,73,72.9,70,68,67.3,62.3,61.4,58,58.8,58.7,46.7,44.2,44.1
103,Departure                                         ,2-Engine.HighByPass.Tfan,56.7,66.1,70.1,72.8,76.6,73,74.5,77,75.3,72.2,72.2,71.2,70.2,70,69.6,71.1,70.6,67.1,63.4,63.5,58.2,51.5,42.3,37.7
104,Departure                                         ,2-Engine.Low/MidByPass.Tfan,57.3,56.3,61.5,67.7,71.4,73.7,67,72.1,73.8,74.1,71.3,70.4,70.9,70,68.2,67.3,63.4,60.9,56.6,53.2,47.8,40.5,31.7,27.9
105,Departure                                         ,2-Engine.HighByPass.Tfan,66.5,60.4,67.1,75,78.2,79.3,71.5,76.7,74.4,74.6,72.3,71.9,71.1,70,69,68.8,67,65.5,63.4,59.2,53.8,50,44.7,38.2
106,Departure                                         ,4-Engine.Tfan+Supersonic,62.5,57.4,66.9,73.7,75.5,74,71.4,73.4,73.4,75.7,75.8,74.1,71.6,70,68.9,68.2,66.4,63.5,62.5,62.5,59.2,53.7,48.1,41.2
107,Departure                                         ,4-Engine.Tfan,58.6,62.7,69.1,74.1,76,74.3,74.1,74.4,74,73.6,73.2,72.3,71.7,70,69.1,69.4,69.6,73.6,67.7,63.1,58.3,51.5,44.2,34.7
108,Departure                                         ,4-Engine.Tfan,66.2,66.2,66.2,72.2,80.8,67.9,67.6,72,70,70.7,71.1,68.9,71.1,70,68.3,67.5,65.4,63.6,63.9,64.8,62.1,59.3,54.6,47.3
109,Departure                                         ,2-Engine.Tprop+1/2-Engine.Piston,64.7,67.1,73.1,89.4,84.5,76.3,89.3,80.7,79.3,79.3,81.6,80.3,76.4,70,65,61.9,59.8,57.3,55.6,52.7,50.9,44.8,36.3,28.4
110,Departure                                         ,2-Engine.Tprop+4-Engine.Piston,71.4,69.9,79.9,87.4,76.5,80.9,86.2,86,85.6,81.2,76.8,74.5,73.2,70,69.5,69.2,67.2,65.4,63.2,60.2,58.4,62.3,55.4,29
111,Departure                                         ,2-Engine.Tprop,78,76,90,103,82,85,97,89,94,80,79,79,75,70,68,64,62,58,57,53,48,43,38,33
112,Departure                                         ,2/4-Engine.Tprop,74,95,92,75,96,90,74.9,78,75,75,74.1,74,72,70,71,72,71,70,66,64,60,54,46,39.9
113,Departure                                         ,2-Engine.Tjet+Tfan.Business,58.5,57.9,60.7,67,71.2,72.6,70.3,72.7,72.9,73.5,72.8,72,71.3,70,68.9,67.1,64.5,63,60.2,55.8,52.1,45.1,38.8,29.6
136,Departure                                         ,2-Engine.Tfan.Business,59.7,60,68.5,73,73.8,70.4,67.6,71.4,68.7,72.8,73.2,73,72.9,70,68,67.3,62.3,61.4,58,58.8,58.7,46.7,44.2,44.1
137,Departure                                         ,2-Engine.Tfan.Business,58.6,62.7,69.1,74.1,76,74.3,74.1,74.4,74,73.6,73.2,72.3,71.7,70,69.1,69.4,69.6,73.6,67.7,63.1,58.3,51.5,44.2,34.7
138,Departure                                         ,2-Engine.Tfan.Business,66.2,66.2,66.2,72.2,80.8,67.9,67.6,72,70,70.7,71.1,68.9,71.1,70,68.3,67.5,65.4,63.6,63.9,64.8,62.1,59.3,54.6,47.3
139,Departure,2-Engine.HighByPass.Tfan,71.44,67.39,59.07,69.31,75.29,76.69,72.57,69.26,76.35,71.21,71.83,70.97,73.41,70,68.74,68.05,67.77,66.25,65.21,63.69,66.13,56.64,50.12,42.14
140,Departure,2-Engine.Tprop,63.5,62.8,71,87.4,78.5,76.8,74.6,77.4,79.8,74.3,75.4,75.3,71.5,70,67.7,67.2,66.5,65.3,63.1,60,55.6,53.6,48.7,40.3
141,Departure,2-Engine.HighByPass.Tfan,71.48,65.85,68.79,75.51,78.7,77.58,70.69,74.68,74.04,74.38,71.69,71.75,72.46,70,69.56,70.03,67.97,67.16,65.75,65.24,61.88,58.6,53.73,46.61
142,Departure,2-Engine.HighByPass.Tfan,71.04,67.14,62.77,71.16,75.57,76.71,73.51,70.66,76,72.59,75.36,74.07,73.79,70,70.13,68.9,67.16,66.66,65.4,63.87,63.44,58.24,53.27,46.72
143,Departure,2-Engine.HighByPass.Tfan,69.23,64.9,65.27,71.65,75.34,75.05,69.22,71.61,72.53,72.52,72.09,73.2,72.56,70,69.81,68.98,68.23,67.32,66.45,64.81,63.73,60.33,54.75,46.98
144,Departure,2-Engine.HighByPass.Tfan,67.62,62.28,62.46,71.17,75.56,75.95,70.37,72.27,74.34,71.86,71.58,71.61,70.89,70,69.01,67.87,66.08,64.85,62.68,61.29,58.31,52.81,47.65,38.31
145,Departure                                         ,4-Engine.Tfan,69.27,64.18,66.52,73.71,77.96,77.7,71.2,74.02,73.53,72.73,70.31,70.6,71.75,70,67.85,67.22,66.68,64.68,60.92,57.07,53.57,46.28,36.27,21.45
146,Departure,2-Engine.HighByPass.Tfan,69.95,62.84,66.73,73.7,77.11,76.6,72.04,76.89,73.82,73.39,71.9,71.46,71.63,70,70.18,69.44,67.27,66.06,64.3,61.94,62.69,55.6,48.71,40.41
147,Departure                                         ,2-Engine.HighByPass.Tfan,59.87,53.55,66.29,74.01,77.44,74.58,65.51,75.13,72.38,76.49,73.34,76.3,72.8,70,68.79,70.63,68.96,68.09,67.75,66.9,61.52,56.02,52.88,48.15
